"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1","OTTR",0.099487,54.51,44.22,2130868000,2321,50.5,51.98,39124247.17,79972.5,76631.87,1.997,1.37,"Otter Tail Corp.",39755000,0.967693,0.803719,0.373001,0.099487,0.12087,0.068794,0.038156,0.046058,0.045242,0.018237,0.0255597014925373,"2019-11-11","2019-08-14",26.84,0.538908353117472,NA
"2","OTLK",-0.75,10.96,0.85,48843090,56,3.94,1.97,13186448.514,451572.5,394944.37,-3.5854,NA,"Outlook Therapeutics, Inc.",28233000,-0.971875,-0.971875,-0.91887,-0.75,-0.606818,-0.75565,-0.199074,-0.112821,-0.195349,0.140033,NA,"2019-12-17",NA,-0.48,0.0124511646100712,NA
"3","OTLKW",2.571429,0.29,0.01,3656174,NA,0.0655,0.164,NA,58270.9,27299.8,NA,NA,"Outlook Therapeutics, Inc.",0,-0.358974358974359,-0.358974358974359,-0.545454545454546,2.57142857142857,0.388888888888889,5.25,0.315789473684211,0.136363636363636,2.125,0.136363636363636,NA,NA,NA,NA,2.12034347436041,NA
"4","OSTK",-0.231518,29.75,8.96,696957750,2060,16.43,19.47,28212602.697,6743228.7,5882614.63,-4.8173,NA,"Overstock.com, Inc.",35289000,0.250241,-0.12111,-0.145395,-0.231518,0.397735,0.024378,1.025641,0.044974,-0.085648,-0.07364,NA,"2019-10-21",NA,-4.1,1.50267148227278,NA
"5","OVID",-0.576531,6.82,1.53,96345570,55,2.26,2.15,18483646.1,299228.3,184183.9,-1.8423,NA,"Ovid Therapeutics, Inc.",38693000,-0.825306,-0.825306,-0.832682,-0.576531,-0.077778,0.276923,0.473373,0.174528,0.303665,0.046218,NA,"2019-11-07",NA,-1.35,1.51656895523298,NA
"6","OXBR",-0.635556,2.93,0.51,4701880,3,1.0364,0.9732,3578887.568,17931.5,11927.1,-1.0735,NA,"Oxbridge Re Holdings Ltd.",5734000,-0.802405,-0.802405,-0.806723,-0.635556,0.037975,-0.310924,-0.267857,-0.178274,-0.172553,0.012346,NA,NA,"2017-09-22",-0.76,0.759821828121018,NA
"7","OXBRW",-0.9,0.18,0.01,401380,NA,0.0604,0.0166,NA,18717.9,14447.17,NA,NA,"Oxbridge Re Holdings Ltd.",0,-0.990384615384615,-0.990384615384615,-0.981132075471698,-0.9,0,-0.9,-0.5,0,0,0,NA,NA,NA,NA,NA,NA
"8","OXFD",-0.112331,19.18,11.88,368926250,210,14.82,13.45,25850541.598,105831.5,123488.03,-0.3362,NA,"Oxford Immunotec Global Plc",26831000,0.079221,-0.11877,0.183761,-0.112331,0.058507,-0.236535,-0.051724,-0.020655,0.070872,0.013265,NA,"2019-11-07",NA,-40.9,0.567912615355939,NA
"9","OXLC",-0.086556,11.05,7.35,541036800,NA,10.14,10.22,54135804.06,655152.7,791919.73,-0.3355,1.62,"Oxford Lane Capital Corp.",54540000,-0.44467,-0.350117,-0.003643,-0.086556,0.00202,-0.006012,-0.052531,-0.03125,-0.020731,0.019527,0.163306451612903,NA,"2019-12-17",-29.57,0.550433893786517,"2019-09-20"
"10","OXLCM",-0.008152,26,23.39,NA,NA,25.39,25.55,NA,1108.6,1529.3,NA,NA,"Oxford Lane Capital Corp.",0,0.028056,0.028056,0.028056,-0.008066,0.018167,-0.001133,0.005054,0.00112,-0.000156,-0.012977,NA,NA,NA,NA,0.0325961860808996,NA
"11","OXLCO",0.005908,25.63,23.97,NA,NA,25.41,25.49,NA,5228.5,6377.37,NA,NA,"Oxford Lane Capital Corp.",0,0.02136,0.062146,0.002123,0.005908,0.012287,0.003103,-0.000391,0.002284,0.004721,-0.000782,NA,NA,NA,NA,0.0349270069850645,NA
"12","OXSQ",-0.130194,7.45,5.89,299248280,NA,6.46,6.4,43641406.605,151084.7,171740.3,-0.4706,0.801,"Oxford Square Capital Corp.",47651000,-0.568,-0.317895,-0.10989,-0.130194,-0.015674,-0.014129,-0.039755,-0.012579,-0.006329,0.02447,0.127547770700637,"2019-11-06","2019-12-17",-13.34,0.49238498439546,"2019-09-20"
"13","OXSQL",0.002742,25.78,23.4,1219865600,NA,25.38,25.63,NA,1102.1,901.47,NA,NA,"Oxford Square Capital Corp.",0,0.007924,0.007924,-0.009886,0.002742,0.036437,0.014778,0.005894,-0.003383,-0.001506,-0.005052,NA,NA,NA,NA,0.00239095788839838,NA
"14","OXSQZ",0.007226,25.59,22.75,1195563590,NA,25.11,25.11,NA,21909.2,10645.97,NA,NA,"Oxford Square Capital Corp.",0,0.019671,0.019671,0.019671,0.007226,0.007226,0.007226,-0.0083,-0.004365,0.004002,2.4e-05,NA,NA,NA,NA,0.0520206889152198,NA
"15","PFIN",-0.222488,9,6.03,20436000,180,7.99,7.51,1465924.584,696.7,923.83,1.9215,0.2,"P&F Industries, Inc.",3144000,0.254658,0.025381,0.216886,-0.223231,-0.168798,-0.209236,-0.209246,-0.097222,-0.1875,-0.052478,0.0307692307692308,NA,"2019-08-16",3.38,0.0376919733779077,NA
"16","PTSI",-0.041228,70,34.31,314620050,2748,51.65,54.32,1750012.86,4714.4,3635.33,5.417,NA,"P.A.M. Transportation Services, Inc.",5757000,1.301037,1.178328,2.059317,-0.041228,0.407055,0.086481,-0.118548,0.141634,0.073674,-0.017263,NA,"2019-10-10",NA,10.09,0.696124050004419,NA
"17","PCAR",0.004531,73,53.43,24574880550,28000,66.61,67.92,340064391.462,1854008.5,1715194.1,6.8035,1.24,"PACCAR, Inc.",346369000,3.630951,0.104167,0.046894,0.004531,0.226236,0.037129,0.024697,0.093557,0.101195,-0.01335,0.017477096546864,"2019-10-22","2019-11-11",10.43,1.01417343465413,"2019-11-11"
"18","HERD",-0.00486,24.79,22.86,NA,NA,23.86,23.78,NA,301.7,560.87,NA,NA,"Pacer Cash Cows Fund of Funds ETF",0,NA,NA,NA,-0.004791,-0.004791,-0.004791,0.037943,0.058945,0.072719,0.0098,NA,NA,NA,NA,0.0703117352293503,NA
"19","ECOW",-0.021635,25.26,22.74,NA,NA,24.19,24.08,NA,4945.4,3223.87,NA,NA,"Pacer Emerging Markets Cash Cows 100 ETF",0,0,0,0,-0.021562,-0.021562,-0.021562,0.002949,0.059335,0.049948,0.009086,NA,NA,NA,NA,0.114316496258687,NA
"20","VETS",0.070025,30.11,23.49,NA,NA,27.46,29.29,NA,705,483.7,NA,NA,"Pacer Military Times Best Employers ETF",0,0.094199,0.094199,0.094199,0.070025,0.257875,0.089884,0.046837,0.034542,0.037769,0.012166,NA,NA,NA,NA,0.224204065636231,NA
"21","PACB",0.07393,7.84,3.9,844366800,401,6.76,5.6,138806559.6,1322409,1247519.57,-0.753,NA,"Pacific Biosciences of California, Inc.",152965000,-0.550487,0.649554,0.880407,0.07393,-0.254054,-0.24898,-0.173653,-0.054795,0.026022,0.005464,NA,"2019-10-31",NA,-7.33,0.30318823678664,NA
"22","PEIX",-0.510437,3.24,0.5011,38986408,510,0.995,0.6394,45150807.841,861277.3,626159.67,-1.3729,NA,"Pacific Ethanol, Inc.",49771000,-0.998909,-0.898897,-0.842857,-0.510437,-0.281376,-0.336186,-0.029609,0.451631,0.119,-0.031049,NA,"2019-11-11",NA,-0.57,1.03845206967664,NA
"23","PMBC",-0.176289,9.75,6.8,176187490,160,7.88,7.81,19300534.668,27495.3,22220.67,0.5003,NA,"Pacific Mercantile Bancorp",22051000,0.042667,0.203077,-0.016352,-0.176289,0.07973,0.008838,-0.036188,0.045812,0.084125,0.040365,NA,"2019-10-22",NA,15.97,0.546281812981757,NA
"24","PPBI",-0.165633,39.65,23.01,1916702110,1030,29.07,30.1,57398075.435,427741,368559.9,2.3404,0.44,"Pacific Premier Bancorp, Inc.",59359000,4.277972,1.1457,-0.197074,-0.165633,0.232443,0.120791,0.080656,0.075975,0.131791,0.018612,0.0136265097553422,"2019-10-23","2019-08-01",13.8,1.15056256489764,NA
"25","PCRX",-0.186378,55,34.64,1566725050,518,41.12,40,40296892.735,480063.7,566210.37,0.1845,NA,"Pacira Biosciences, Inc.",41635000,5.645299,-0.375084,-0.022013,-0.186378,-0.099545,-0.045408,-0.120383,-0.007124,-0.127724,0.024224,NA,"2019-11-04",NA,203.96,0.837101221627704,NA
"26","PACW",-0.232497,51.05,31.16,4483553580,1833,37.58,35.83,116359267.662,796777.4,881614,3.8668,2.4,"PacWest Bancorp",118206000,0.37543,0.028295,-0.206842,-0.232497,0.132577,-0.055998,0.006368,0.13427,0.102616,0.025135,0.0632744529396256,"2019-10-15","2019-08-19",9.81,1.00801360568826,NA
"27","PLMR",0.807267,38.24,18.06,805456080,64,26.23,30.73,7162762.269,94366.6,116580.57,NA,NA,"Palomar Holdings, Inc.",23469000,0.042654,0.042654,0.042654,0.807267,0.807267,0.807267,0.383871,-0.068909,0.220484,-0.018307,NA,"2019-11-27",NA,NA,0.0547551504567714,NA
"28","PAAS",0.118004,19.48,10.26,3473211560,4530,13.94,16.32,205218622.336,4220403.4,3852689.47,-0.2015,0.139944261178748,"Pan American Silver Corp.",209482000,0.960656,-0.044728,-0.263547,0.118004,0.132514,0.285271,0.40747,0.01968,-0.005995,-0.042725,0.00844054651259035,"2019-11-07","2019-08-16",-82.28,-0.268058252370091,NA
"29","PANL",-0.076271,4.35,2.71,145358040,504,3.28,3.32,9875811.93600001,9282.1,15075.53,0.3621,0.035,"Pangaea Logistics Solutions Ltd.",44452000,-0.650728,-0.666004,0.005988,-0.076271,0.16337,-0.065714,-0.038235,0.048077,-0.038235,0.006154,0.0107033639143731,"2019-11-07","2019-08-23",9.03,0.0299691297263351,NA
"30","PZZA",0.136697,60.56,38.29,1675705200,18000,46.36,46.36,26212708.08,1107158.4,1263848.97,-0.8183,0.9,"Papa John's International, Inc.",31785000,7.646726,0.238536,-0.332251,0.136697,0.31373,0.113646,0.039022,0.222068,0.233505,0.019926,0.0170713201820941,"2019-10-30","2019-08-09",-64.43,0.532670272363,NA
"31","PRTK",-0.432044,12.2,2.87,167229900,104,5.2,3.89,26773799.805,625888.6,563131.07,-3.8443,NA,"Paratek Pharmaceuticals, Inc.",32535000,-0.986026,-0.847595,-0.756152,-0.432044,-0.077199,-0.1776,0.41989,0.160271,0.658065,0.019841,NA,"2019-11-11",NA,-1.34,1.49892988698315,NA
"32","TEUM",-0.213287,5.93,1.45,255037500,138,3.21,2.84,108922889.05,4069500.1,3575228.73,-0.2364,NA,"Pareteum Corp.",113350000,-0.8816,-0.802667,5.258306,-0.213287,0.285714,-0.605263,-0.196429,-0.285714,-0.358974,0.153846,NA,"2019-11-07",NA,-9.52,1.00513794140855,NA
"33","PNRL",-0.794059,10.38,1.65,NA,NA,4.82,2.79,NA,2007.1,3343.8,-0.7635,NA,"Paringa Resources Ltd.",NA,-0.473466,-0.473466,-0.473466,-0.793795,-0.725855,-0.590088,-0.409773,-0.207222,-0.007857,-0.16992,NA,NA,NA,-2.72,0.0133993930341051,NA
"34","PCYG",-0.239306,10.33,4.76,130422180,74,6.74,5.54,12298752.111,115443.3,58871.8,0.1673,NA,"Park City Group, Inc.",19821000,1.98,-0.32701,-0.399194,-0.239306,0.013867,-0.173367,0.229907,0.196364,0.323944,0.001522,NA,"2019-11-07",NA,39.33,0.962714380405182,NA
"35","PKBK",0.010435,24.45,16.71,250318040,98,21.29,22.63,8904310.303,10813.8,9536.83,2.6017,0.58,"Parke Bancorp, Inc.",10771000,6.744177,1.711395,0.16249,0.010435,0.204145,0.076923,-0.038079,0.058288,0.063616,0.080428,0.0249569707401033,NA,"2019-07-11",8.93,0.530254367079681,NA
"36","PKOH",-0.15547,40.1,25.73,409468800,7300,32.15,29.31,8564574.72,35130.9,35292.67,3.9086,0.5,"Park-Ohio Holdings Corp.",12480000,10.014793,-0.317632,-0.034241,-0.15547,0.068382,-0.00936,0.031437,0.167616,0.172623,0.066645,0.0152392563242914,"2019-11-04","2019-08-12",8.39,1.13056797942252,NA
"37","PTNR",-0.139394,5.6,3.47,NA,2782,4.43,4.2,162717058.39104,4497.3,5112.47,0.0835,NA,"Partner Communications Co. Ltd.",NA,0.321739,-0.474048,-0.128107,-0.138141,-0.093455,0.013349,-0.014734,0.026022,0.091072,-0.012454,NA,"2019-11-20",NA,51.02,0.967335813102569,NA
"38","PBHC",-0.14248,16.25,12.57,61204000,163,14.16,13.53,2887741.252,1675.9,1855.03,0.7271,0.24,"Pathfinder Bancorp, Inc.",4708000,0.52023,0.469206,-0.114944,-0.14248,-0.129853,-0.061372,-0.17208,-0.022556,-0.041743,-0.003831,0.0184615384615385,NA,"2019-07-18",17.88,0.02563323794682,NA
"39","PATK",-0.355071,67.5,27.32,1024457480,8113,42.32,41.14,22365372.345,214717.7,193409.13,4.4258,NA,"Patrick Industries, Inc.",23869000,15.196667,1.70612,0.03973,-0.355071,0.39759,-0.080351,-0.065331,0.089617,0.006331,0.112494,NA,"2019-10-24",NA,9.7,1.32842966271261,NA
"40","PNBK",-0.422472,25.5,12.6,50410550,118,14.99,14.11,1332898.095,1827.1,952.13,-0.0986,0.04,"Patriot National Bancorp, Inc.",3923000,-0.83959,0.240974,0.054491,-0.422472,-0.098246,-0.111342,-0.176525,-0.08995,-0.103905,-0.003142,0.00311284046692607,"2019-11-14","2019-08-30",-130.32,-0.0212727412714124,"0000-00-00"
"41","PATI",-0.061669,21.24,16.75,59074550,783,18.56,17.57,2155842.864,804.5,1021.97,0.6594,NA,"Patriot Transportation Holding, Inc.",3347000,-0.166522,-0.166522,-0.085837,-0.061669,-0.104515,-0.080729,0.008571,0.050595,0.008571,0.007995,NA,NA,NA,26.77,0.0709900772612376,NA
"42","PEGI",0.325183,27.77,17.23,2662331100,209,22.3,24.94,96631615.938,705827.7,1057402.77,-0.6407,1.688,"Pattern Energy Group, Inc.",98241000,-0.010743,-0.178444,0.055479,0.325183,0.453083,0.244832,0.187035,0.024575,0.212528,-0.004043,0.0622878228782288,"2019-11-11","2019-09-26",-42.3,0.765071373357126,"2019-09-26"
"43","PDCO",-0.246476,26.6,15.73,1787777920,7800,21.28,18.6,83799008.448,1282462.4,1225545.23,1.262,1.04,"Patterson Cos., Inc.",95552000,-0.015351,-0.445679,-0.496524,-0.246476,-0.068691,-0.163238,-0.171023,0.069754,0.009714,0.04118,0.0555852485301978,"2019-11-19","2019-07-11",14.83,0.8148434371071,NA
"44","PTEN",-0.351765,18.39,7.87,2232729140,8000,12.06,9.78,199278166.99,4471654.9,4329751,-1.6464,0.16,"Patterson-UTI Energy, Inc.",202607000,-0.162904,-0.596055,-0.36275,-0.351765,0.038643,-0.235784,-0.025641,0.257991,0.103103,0.141969,0.014519056261343,"2019-10-21","2019-09-04",-6.69,1.51592893148093,NA
"45","PAVM",-0.238538,1.4,0.86,34706884,9,1.0662,1.0165,23736647.61,129644.2,148269.37,-0.644,NA,"PAVmed, Inc.",35061000,-0.899231,-0.899231,-0.727083,-0.238538,-0.041073,-0.057238,-0.131667,-0.0101,-0.000101,0,NA,"2019-11-11",NA,-1.54,0.106308172403373,NA
"46","PAVMW",0.366667,0.68,0.08,17039646,NA,0.2617,0.3372,NA,80,26.67,NA,NA,"PAVmed, Inc.",0,-0.94875,-0.94875,-0.825531914893617,0.366666666666667,0.0249999999999999,2.15384615384615,0.863636363636364,-0.293103448275862,0.0249999999999999,-0.293103448275862,NA,NA,NA,NA,1.42150057735332,NA
"47","PAVMZ",-0.65,1.3,0.23,14024400,NA,0.4401,0.3192,NA,649,4530.5,NA,NA,"PAVmed, Inc.",0,-0.65,-0.65,-0.65,-0.65,-0.0277777777777778,-0.339622641509434,0.166666666666667,-0.0277777777777778,0.0294117647058822,0.0937499999999999,NA,NA,NA,NA,-0.693423108503025,NA
"48","PAYX",0.092011,88.43,61.32,29128586760,10692,78.88,83.17,320252389.314,1832744.2,1575174.07,2.88,2.3,"Paychex, Inc.",359346000,2.027172,1.093201,0.458319,0.092011,0.245735,0.021936,-0.060501,-0.014947,0.002226,0.003963,0.0283740439180854,"2019-10-02","2019-07-31",28.15,0.925190828310607,NA
"49","PCTY",0.172942,112.46,53.46,5043851640,3050,88.3,103.52,33424355.268,507668.9,435595.8,1.0169,NA,"Paylocity Holding Corp.",53082000,3.039517,5.099874,1.220165,0.172942,0.595634,0.102576,-0.01656,-0.09814,0.028689,-0.001366,NA,"2019-10-31",NA,93.44,1.67750716636575,NA
"50","PYPL",0.201173,121.48,74.66,125338888400,21800,103.07,110.74,1116675126.71,7433887.9,6799876.93,2.14,NA,"PayPal Holdings, Inc.",1176670000,2.019613,2.019613,1.254423,0.201173,0.242216,0.062332,-0.090816,-0.010681,0.028185,0.033673,NA,"2019-10-19",NA,49.78,1.42709006353938,NA
"51","PAYS",1.419214,18.67,2.94,527086680,64,8.99,13.84,26446288.743,2126387.9,1974449.33,0.0878,NA,"PaySign, Inc.",47571000,NA,NA,NA,1.419214,2.094972,0.547486,-0.021201,-0.26768,-0.110754,0.108,NA,"2019-11-27",NA,126.2,0.359312561556733,NA
"52","PBBI",-0.018723,12.1,10.5,85863910,112,11.23,11.42,6061388.839,7671.4,5418.2,0.5825,0.26,"PB Bancorp, Inc.",7447000,0.249674,1.034336,0.059615,-0.018723,0.02307,0.003481,0.007427,0.011404,0.032229,-0.004318,0.0225498699045967,NA,"2019-07-16",19.79,0.20038871694535,NA
"53","CNXN",-0.075538,43.04,27.04,972713280,2513,34.78,35.18,11081772.896,64040.2,55388.87,2.7013,NA,"PC Connection, Inc.",26318000,5.908915,0.770109,0.229734,-0.075538,0.219802,-0.021705,0.058116,0.036746,0,0.046729,NA,"2019-11-01","2018-12-27",13.68,1.22173356253811,NA
"54","PCB",-0.188172,20.58,13.36,261341740,248,16.59,16.48,11632051.796,63352.1,36277.4,1.688,0.17,"PCB Bancorp",15734000,0.321384,0.982076,0.228179,-0.188172,0.124577,-0.034863,-0.025235,0.006057,0.051266,0.0085,0.0102347983142685,"2019-10-22",NA,9.84,0.684240822269594,NA
"55","PCSB",0.008933,20.93,18.16,358946480,182,19.68,19.66,15354416.808,33139.6,31747.7,0.5032,0.13,"PCSB Financial Corp.",17656000,0.156136,0.156136,0.148461,0.008933,0.033554,0.020582,0.047398,0.036188,0.048479,0.018027,0.00639449090014757,"2019-10-24","2019-08-15",40.4,0.289746303972873,NA
"56","PCTI",0.720455,7.7,3.88,139954160,454,5.07,5.68,15404072.184,342664.3,229563,-0.5883,0.22,"PCTEL, Inc.",18488000,-0.508081,-0.392768,-0.404645,0.720455,0.701124,0.356631,0.667401,0.2112,0.642082,0.063202,0.0290620871862616,"2019-11-04","2019-08-07",-12.87,0.437671363712368,NA
"57","PDCE",-0.242881,53.5,24.13,2265387840,600,34.57,29.52,61901284.185,1813724.9,1740863.6,1.8794,NA,"PDC Energy, Inc.",62649000,5.095694,-0.376712,-0.295873,-0.242881,0.188692,-0.151572,0.108522,0.27819,0.383321,0.115705,NA,"2019-11-07",NA,19.24,1.73969871045095,NA
"58","PDFS",0.512277,14,7.56,439602650,365,11.73,12.42,27924825.605,103983.3,92678.97,-0.2659,NA,"PDF Solutions, Inc.",32443000,1.105344,-0.24686,-0.184506,0.512277,0.570104,0.052836,0.077107,0.179286,0.129167,0.072842,NA,"2019-10-24",NA,-50.96,1.05856863677854,NA
"59","PDLI",0.004386,3.89,2.15,261524870,105,3.12,2.73,111011597.165,1830010.1,1571485.8,0.3083,NA,"PDL BioPharma, Inc.",114203000,-0.548,-0.596908,0.527027,0.004386,-0.213058,-0.369146,-0.234114,-0.084,-0.187943,-0.033755,NA,"2019-11-06","2016-06-02",7.43,1.19431524482696,NA
"60","PDLB",-0.026298,15.18,12.42,257912840,181,13.7,14.14,7582905.411,23133,19606.8,0.1498,NA,"PDL Community Bancorp",17861000,-0.022819,-0.022819,-0.022819,-0.026298,0.134328,0.044863,0.025568,0.010497,0.027758,0.016186,NA,"2019-11-13",NA,96.4,0.380738225692722,NA
"61","PDSB",-0.664915,23.6,5,26407800,10,7.19,6.01,2264929.692,7362.7,8526.07,-3.6172,NA,"PDS Biotechnology Corp.",5178000,-0.976391,-0.976391,-0.970397,-0.664915,-0.293041,-0.400705,-0.168026,-0.209302,-0.195584,-0.053803,NA,NA,NA,-1.41,0.597705669806138,NA
"62","SKIS",1.198,11,3.75,167355720,9963,5.83,9.73,9776726.244,47399.8,96317.9,-0.16,0.28,"Peak Resorts, Inc.",15228000,0.225,-0.481786,-0.205405,1.198,1.318565,1.348291,1.796438,0.007333,0.01011,0.000911,0.0254777070063694,NA,"2019-07-24",-68.69,0.101506693685265,NA
"63","PGC",-0.078792,32.68,23.96,575508480,409,27.48,27.84,18715893.76,79929.6,74859.4,2.3042,0.2,"Peapack-Gladstone Financial Corp.",19456000,0.397301,0.586077,-0.0884,-0.078792,0.152318,0.065946,0.06787,0.076419,0.116648,0.022822,0.00676132521974307,"2019-10-25","2019-08-07",12.84,0.745067148346338,NA
"64","PEGA",0.082774,79.67,43.21,5620745960,4650,65.46,72.67,36484837.316,253447.5,291988.8,-0.6621,0.12,"Pegasystems, Inc.",79132000,35.855037,2.974563,0.61987,0.082774,0.490661,0.092769,0.007375,0.006804,0.036632,0.023487,0.00168942700267493,"2019-11-11","2019-06-28",-107.28,1.29229598444736,"0000-00-00"
"65","PENN",-0.35962,34.72,16.72,2418206900,25750,20.93,18.79,109004354.89,1656923.9,1697312,0.8198,NA,"Penn National Gaming, Inc.",115870000,1.188701,0.793519,0.039721,-0.35962,0.073008,-0.060756,0.057244,0.141685,0.109516,0.033168,NA,"2019-10-24",NA,25.46,1.4315798087929,NA
"66","PVAC",-0.521231,88.21,27.33,545060560,95,42.65,31.08,15019666.433,233648.6,251151.57,15.2508,NA,"Penn Virginia Corp.",15107000,0.080369,0.080369,-0.003632,-0.521231,-0.356633,-0.331109,0.218507,0.137094,0.162371,0.053738,NA,"2019-10-28",NA,2.37,1.73196354788557,NA
"67","PFLT",-0.122926,13.45,11.05,450918360,NA,12.26,11.58,38261023.812,138228.6,158779.87,0.3883,1.14,"PennantPark Floating Rate Capital Ltd.",38772000,-0.005224,-0.02984,-0.037545,-0.122926,-0.014407,-0.108812,0.002586,0,0.03286,0.000861,0.0980223559759243,"2019-11-14","2019-09-16",29.95,0.407597349315119,NA
"68","PNNT",-0.17477,7.67,6.16,421042600,NA,6.76,6.42,65386776.015,343434.1,325724.07,0.2909,0.72,"PennantPark Investment Corp.",67045000,-0.516667,-0.334608,-0.112245,-0.17477,-0.054217,-0.115493,-0.004754,-0.030864,-0.024845,-0.012579,0.114649681528662,"2019-11-25","2019-09-16",21.59,0.503546038882238,NA
"69","PWOD",0.06198,46.36,34.84,215502560,328,41.8,43.32,4525685.164,5676.4,4607.47,3.4539,1.88,"Penns Woods Bancorp, Inc.",4693000,0.2564,-0.007536,0.093333,0.06198,0.132429,0.08635,0.154059,0.081488,0.067907,0.07365,0.0409407665505226,NA,"2019-09-09",13.3,0.532258523331529,NA
"70","WRLS",0.041331,10.9,8.06,83342440,3,10.21,10.07,413501.136,43,175.73,-0.1494,NA,"Pensare Acquisition Corp.",8068000,0.065015,0.065015,0.065015,0.041442,0.019852,0.007912,-0.016086,0.001066,-0.009482,0.281774,NA,NA,NA,-69.14,-0.0308376529397582,NA
"71","WRLSR",-0.431373,0.55,0.18,1210200,NA,0.4153,0.3232,NA,10762.4,18852.73,NA,NA,"Pensare Acquisition Corp.",0,-0.147058823529412,-0.147058823529412,-0.147058823529412,-0.431372549019608,-0.0333333333333334,-0.431372549019608,-0.236842105263158,-0.194444444444444,-0.0333333333333334,-0.0937500000000001,NA,NA,NA,NA,-0.249028682996666,NA
"72","WRLSU",0.017274,11.47,9.74,84794680,NA,10.55,10.52,NA,233.5,97.83,NA,NA,"Pensare Acquisition Corp.",0,0.0557768924302789,0.0557768924302789,0.0557768924302789,0.0172744721689059,0.00473933649289089,-0.00934579439252333,0.0192307692307692,0.0114503816793892,0.00952380952380949,0,NA,NA,NA,NA,0.0129303938339816,NA
"73","WRLSW",-0.479167,0.68,0.15,1411900,NA,0.4811,0.3036,NA,75011.2,55813.43,NA,NA,"Pensare Acquisition Corp.",0,-0.431818181818182,-0.431818181818182,-0.431818181818182,-0.479166666666667,0.25,-0.583333333333333,-0.375,-0.0384615384615385,-0.137931034482759,0.136363636363636,NA,NA,NA,NA,-0.384242379515066,NA
"74","PEBO",-0.079644,36.89,28.35,684101950,871,31.86,31.57,20140665.174,41690.2,47501.77,2.5751,1.22,"Peoples Bancorp, Inc. (Ohio)",20699000,0.485289,0.331855,-0.002115,-0.079644,0.086099,0.038655,0.038981,0.038655,0.079008,0.0367,0.0369137670196672,"2019-10-22","2019-08-02",12.83,0.717145865802312,NA
"75","PEBK",-0.006826,34.32,20.03,172650300,334,27.28,27.62,4554010.609,5699.2,6953,2.4048,0.54,"Peoples Bancorp of North Carolina, Inc.",5933000,2.758263,0.798475,0.087895,-0.006826,0.146572,0.044133,0.045634,0.053584,0.058182,0.073801,0.0185567010309278,NA,"2019-08-30",12.1,0.796193911783472,NA
"76","PFIS",0.013717,49.71,39.01,339022180,390,43.84,44.79,6829898.516,12214.3,8188.4,3.6038,1.34,"Peoples Financial Services Corp.",7399000,0.82125,-0.049783,-0.022585,0.013717,0.025285,-0.016949,0.059422,0.035012,0.018901,0.012597,0.0292448712352684,NA,"2019-08-29",12.71,0.490258363794412,NA
"77","PBCT",-0.082724,18.1,13.66,6499625000,5536,16.21,15.49,395564386.25,3757476.4,4331789.33,1.31,0.7025,"People's United Financial, Inc.",398750000,2.276613,0.220104,0.006289,-0.082724,0.109598,-0.073864,0.004932,0.113388,0.082337,0.036896,0.0430981595092025,"2019-10-17","2019-07-31",12.44,0.855592942061368,NA
"78","PBCTP",0.072953,27.84,20.44,11025437500,NA,25.43,27.08,NA,23058.8,20139.33,NA,NA,"People's United Financial, Inc.",0,-0.009924,-0.009924,-0.081445,0.072953,0.221829,0.122615,0.049734,0.030179,0.044974,-0.000362,NA,NA,NA,NA,0.205375638933676,NA
"79","PUB",-0.175464,36.3,25.18,544100300,459,28.83,28.22,15608486.696,22015.3,22777.77,2.2742,0.45,"People's Utah Bancorp",18827000,0.734731,0.734731,0.116378,-0.175464,-0.056789,0.010136,-0.001037,0.032143,0.016532,0.032881,0.0155709342560554,"2019-10-23","2019-08-02",12.71,0.793037239590787,NA
"80","PEP",0.168804,139.18,104.53,188585169600,267000,123.42,132.31,1392120118.41,3858905.3,4078742.4,9.085,3.7375,"PepsiCo, Inc.",1398170000,2.183342,0.466244,0.124095,0.168804,0.234261,0.150166,0.017809,0.017425,0.084244,-0.007213,0.0277098161328588,"2019-10-03","2019-09-05",14.85,0.448584127364175,NA
"81","PRCP",-0.496296,10.84,3.56,52588480,327,6.26,4.44,9213095.682,53049.9,35228.73,-0.7223,NA,"Perceptron, Inc.",9667000,1.995902,-0.297115,-0.147025,-0.496296,-0.342995,-0.288889,0.219731,0.185185,0.165182,0.112474,NA,"2019-11-06",NA,-7.53,0.280667888812026,NA
"82","PRFT",0.317856,39.74,20.92,1267662600,3060,29.93,36.01,31822929,246713.8,264584.93,0.9265,NA,"Perficient, Inc.",32841000,57.181818,0.757276,0.902497,0.317856,0.745816,0.332413,0.163702,0.06866,0.087324,0.033191,NA,"2019-10-31",NA,41.66,0.940605382464055,NA
