symbol,companyName,exchange,industry,website,description,CEO,securityName,issueType,sector,employees,address,address2,state,city,zip,country,phone
AAL,"American Airlines Group, Inc.",NASDAQ,Airlines,http://www.aa.com,"American Airlines Group, Inc. is a holding company, which engages in the operation of a network carrier through its principal wholly-owned mainline operating subsidiary, American. The firm offers air transportation for passengers and cargo. It operates through the following geographical segments: Department of Transportation Domestic; Department of Transportation Latin America; Department of Transportation Atlantic; and Department of Transportation Pacific. The company was founded on December 9, 2013 and is headquartered in Fort Worth, TX.",William Douglas Parker,"American Airlines Group, Inc.",cs,Transportation,128900,1 Skyview Drive,,TX,Fort Worth,76155,US,1.817.963.1234
AAME,Atlantic American Corp.,NASDAQ,Multi-Line Insurance,http://www.atlam.com,"Atlantic American Corp. is an insurance holding company, which engages in the life, health, and property and casualty insurance industries. It operates through the following segments: American Southern, Bankers Fidelity, and Corporate & Other. The American Southern segment operates in the property and casualty insurance market. The Bankers Fidelity segment operates in the life and health insurance market. The Corporate and Other segment is from external sources. The company was founded in 1968 and is headquartered in Atlanta, GA.",Hilton H. Howell,Atlantic American Corporation,cs,Finance,161,4370 Peachtree Road NE,,GA,Atlanta,30319,US,1.404.266.5500
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Telecommunications Equipment,http://www.ao-inc.com,"Applied Optoelectronics, Inc. engages in the design and manufacture of optical communications products. Its products include optical devices, such as laser diodes, photodiodes, related modules and circuitry, and equipment for applications in fiber-to-the-home, cable television, point to point communications and wireless. The company was founded by Chih Hsiang Lin on February 28, 1997 and is headquartered in Sugar Land, TX.",Chih Hsiang Lin,"Applied Optoelectronics, Inc.",cs,Electronic Technology,2956,13139 Jess Pirtle Boulevard,,TX,Sugar Land,77478,US,1.281.295.1800
AAON,"AAON, Inc.",NASDAQ,Industrial Machinery,http://www.aaon.com,"AAON, Inc. engages in the engineering, manufacturing, marketing and sale of air conditioning and heating equipment. It consists of standard, semi-custom and custom rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, and geothermal/water-source heat pumps and coils. It operates through the following segments: Units, Parts, and Other. The Sales segments represents the selling price of its units plus freight, and other miscellaneous charges less any returns and allowances. The Parts segment represents the sales of purchased, and fabricated parts including coils along with the related freight. The Other segment covers certain sales cost and expenses that are not allocated to the reportable segments. The company was founded by Norman H. Asbjornson on August 18, 1987 and is headquartered in Tulsa, OK.",Norman H. Asbjornson,"AAON, Inc.",cs,Producer Manufacturing,2221,2425 South Yukon Avenue,,OK,Tulsa,74107-9034,US,1.918.583.2266
AAPL,"Apple, Inc.",NASDAQ,Telecommunications Equipment,http://www.apple.com,"Apple, Inc. engages in designing, manufacturing, and marketing of mobile communication, media devices, personal computers, and portable digital music players. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, iPad, Mac, iPod, Apple Watch, Apple TV, a portfolio of consumer and professional software applications, iPhone OS (iOS), OS X and watchOS operating systems, iCloud, Apple Pay and a range of accessory, service and support offerings. Apple was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA.",Timothy Donald Cook,Apple Inc.,cs,Electronic Technology,132000,One Apple Park Way,,CA,Cupertino,95014-2083,US,1.408.974.3123
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Air Freight/Couriers,http://www.atlasair.com,"Atlas Air Worldwide Holdings, Inc. engages in the provision of outsourced aircraft and aviation operating services. It operates through the following segments: ACMI, Charter, and Dry Leasing. The ACMI segment offers aircraft, crew, maintenance, and insurance services to customers. The Charter segment comprises planeload air cargo and passenger aircraft charters, including the U.S. Military Air Mobility Command (AMC), brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers. The Dry Leasing segment includes leasing of aircraft and engines. The company was founded by Michael Chowdry in 1993 and is headquartered in Purchase, NY.",William J. Flynn,"Atlas Air Worldwide Holdings, Inc.",cs,Transportation,3275,2000 Westchester Avenue,,NY,Purchase,10577-2543,US,1.914.701.8000
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,Investment Trusts/Mutual Funds,,,,iShares MSCI All Country Asia ex Japan ETF,et,Miscellaneous,-100000,,,,,,,
ABCB,Ameris Bancorp,NASDAQ,Regional Banks,http://www.amerisbank.com,"Ameris Bancorp is a bank holding company, which through the subsidiary, Ameris Bank, engages in the provision of banking services to its retail and commercial customers. It operates through the following business segments: Banking, Retail Mortgage, Warehouse Lending, the SBA and Premium Finance. The Banking segment offers full service financial services to include commercial loans, consumer loans and deposit accounts. The Retail Mortgage segment includes origination, sales, and servicing of one-to-four family residential mortgage loans. The Warehouse Lending segment includes the origination and servicing of warehouse lines to other businesses that are secured by underlying one-to-four family residential mortgage loans. The SBA segment comprises of origination, sales, and servicing of small business administration loans. The Premium Finance segment comprises origination and servicing of commercial insurance premium finance loans. The company was founded on December 18, 1980 and is headquartered in Moultrie, GA.",H. Palmer Proctor,Ameris Bancorp,cs,Finance,1804,"310 First Street, SE",,GA,Moultrie,31768,US,1.229.890.1111
ABDC,Alcentra Capital Corp.,NASDAQ,Investment Managers,http://www.alcentracapital.com,"Alcentra Capital Corp. is a non-diversified closed-end management investment company, which engages in the provision of debt and equity financing solutions to lower middle and middle-market companies. It targets industries operating in the field of healthcare and pharmaceutical services; defense, aerospace, homeland security and government services; and business and outsourced services. The company was founded on June 6, 2013 and is headquartered in New York, NY.",Suhail A. Shaikh,Alcentra Capital Corp,cs,Finance,-100000,200 Park Avenue,,NY,New York,10166,US,1.212.922.8240
ABIO,"ARCA biopharma, Inc.",NASDAQ,Biotechnology,http://www.arcabiopharma.com,"ARCA biopharma, Inc. is a biopharmaceutical company, which develops genetically targeted therapies for heart failure and other cardiovascular diseases. The company engages in cardiovascular pathophysiology, molecular genetics and clinical development. Its product candidate, GencaroTM is a pharmacologic beta-blocker and mild vasodilator, which is developed for the treatment of chronic heart failure and other indications. The company was founded by Michael R. Bristow and Christopher David Ozeroff in 1992 and is headquartered in Westminster, CO.",Michael R. Bristow,"ARCA biopharma, Inc.",cs,Health Technology,15,11080 CirclePoint Road,,CO,Westminster,80020,US,1.720.940.2100
