"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","DateMadePublic","OrigCompany","City","State","BreachType","OrgType","TotalRecords","BreachYear","Latitude","Longitude","MatchedCompanyName","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","YI","111, Inc.",1057,"$216.4M","2018","Health Care","Medical/Nursing Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PIH","1347 Property Insurance Holdings, Inc.",1916,"$29.22M","2014","Finance","Property-Casualty Insurers","May 10, 2013","PHH Corporation","Suwanee","Georgia","Insider","Healthcare",6700,2013,34.05149,-84.0713,"1347 Property Insurance Holdings, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,23714,7914.5,7543,5795.5,4700
"3","PIHPP","1347 Property Insurance Holdings, Inc.",1318,"$17.68M","n/a","Finance","Property-Casualty Insurers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TURN","180 Degree Capital Corp.",1006,"$66.29M","n/a","Finance","Finance/Investors Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172470,172247,157466,114506,102821,111915,122120,79950,76769.5,60513.5,52709,43088.5,61867,65700
"5","FLWS","1-800 FLOWERS.COM, Inc.",714,"$946.76M","1999","Consumer Services","Other Specialty Stores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142447,183852,277733,234486,112116.5,175954.5,133087,107217,139011,174080,366595.5,188611.5,137200,184900
"6","BCOW","1895 Bancorp of Wisconsin, Inc.",2630,"$45.96M","2019","Finance","Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FCCY","1st Constitution Bancorp (NJ)",861,"$150.67M","n/a","Finance","Savings Institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,1386,1437,1656,1349,2119,2014.5,2204,1901,3570.5,3443,4817,7372,6302
"8","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","June 10, 2008","1st Source Bank","South Bend","Indiana","Hacking","Financial",0,2008,41.683381,-86.250007,"1st Source Corporation",24815,28989,47457,54971,39259.5,31851.5,34780,39696.5,33662.5,34520.5,38735,35149,48007,47300
"9","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","November 19, 2010","1st Source Bank","South Bend","Indiana","Unknown","Financial",0,2010,41.683381,-86.250007,"1st Source Corporation",24815,28989,47457,54971,39259.5,31851.5,34780,39696.5,33662.5,34520.5,38735,35149,48007,47300
"10","VNET","21Vianet Group, Inc.",2440,"$882.28M","2011","Technology","Computer Software: Programming, Data Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222722,245452.5,309050,851638,651850,868744.5,380755,333100
