"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","nextEarningsDate","exDividendDate","peRatio","beta","ttmDividendRate","nextDividendDate","dividendYield"
"1","MTG",-0.026779,14.97,9.41,4504838880,793,12.82,12.87,347540882.358,3872476.3,3170242.13,1.8392,"MGIC Investment Corp.",354154000,-0.632083,0.694896,0.388783,-0.012422,0.210276,-0.051454,-0.068132,0.024155,0.003946,-0.028266,"2019-10-18","2019-08-29",6.92,1.14167155449319,NA,NA,NA
"2","MGP",0.024612,33.3,25.5,2820161640,NA,30.36,29.92,92095026.786,983161.8,811264.8,1.014,"MGM Growth Properties LLC",92799000,0.462063,0.462063,0.138309,0.011651,0.159481,-0.005237,-0.049124,0.035787,0.031919,-0.029693,"2019-11-11","2019-09-27",29.97,0.605200168392243,1.8175,"2019-09-27",0.0598058571898651
"3","MGM",0.050217,31.68,21.61,15157882890,55000,27.34,28.73,490510550.316,7258336.9,5313736.13,0.3459,"MGM Resorts International",521427000,0.828612,0.013917,-0.161736,0.060175,0.154029,0.107429,0.055172,0.026846,0.01466,0.023592,"2019-10-31","2019-09-09",84.04,1.43907299472364,0.5,NA,0.0171998624011008
"4","MFGP",-0.337774,32.93,12.5,NA,14800,24.08,19.09,NA,1190582.8,725978.03,-1.063,"Micro Focus International Plc",NA,-0.362475,-0.362475,-0.362475,-0.337843,-0.334789,-0.53641,-0.436437,-0.258391,-0.333971,0.048983,NA,"2019-02-28",-13.1,0.844535258947903,1.249024,NA,0.0897287356321839
"5","MAA",0.241298,130.28,91.21,14479026240,2552,110.9,123.35,113316627.368,440819.3,523350.9,2.0718,"Mid-America Apartment Communities, Inc.",114044000,3.57625,0.52924,0.104818,0.231187,0.370318,0.191106,0.068597,0.02214,0.044165,-0.011831,"2019-11-04","2019-07-12",61.28,0.404897122470491,3.8025,NA,0.0299503780718336
"6","MSL",-0.250968,16.15,9.89,194258520,474,11.46,11.15,15372407.876,147929,84907.17,-2.3543,"MidSouth Bancorp, Inc. (Louisiana)",16732000,0.482827,-0.282536,-0.128378,-0.250968,0.096317,0.02381,0.013089,0.094251,0.029255,0.057377,"2019-10-29","2019-06-13",-4.93,0.93138080900216,0.04,NA,0.00344530577088717
"7","AMPY",-0.319475,13.23,4.01,126981300,85,7.93,5.45,20169958.755,336405.6,348738.97,-0.7668,"Amplify Energy Corp.",20415000,-0.294545,-0.294545,-0.294545,-0.284235,-0.223471,-0.388998,0.114695,0.219608,0.446512,0.029801,"2019-11-08","2019-09-03",-8.11,1.1753085735574,NA,NA,NA
"8","MCRN",-0.218284,22.09,11.11,1181931960,5797,13.95,16.07,67061098.698,1177145,1160520.73,0.3428,"Milacron Holdings Corp.",70521000,-0.237487,-0.237487,-0.135495,-0.219739,0.378289,0.256372,0.315542,0.062777,0.028221,0.031385,"2019-10-24",NA,48.89,1.38615663989895,NA,NA,NA
"9","MLR",0.266789,35.26,22.8,393528000,1240,30.63,31.44,10993715.4,28361.4,36424.37,3.4063,"Miller Industries, Inc. (Tennessee)",11400000,9.496875,0.757718,0.312109,0.280891,0.262619,0.043846,0.207838,0.075725,0.140026,0.058896,NA,"2019-09-06",10.13,0.746893238631667,0.72,NA,0.0208574739281576
"10","HIE",-0.133127,13,8.75,NA,NA,11.17,11,NA,68973.7,79956.1,NA,"Miller/Howard High Income Equity Fund",0,-0.415,-0.415,-0.130112,-0.133127,0.132457,-0.021193,0.009009,0.04186,0.002686,0.032258,NA,NA,NA,0.76749103182382,NA,NA,NA
"11","MTX",-0.185725,70.55,45.26,1940035790,3720,55.22,50.63,34745469.472,230089.3,198244.33,4.2779,"Minerals Technologies, Inc.",35063000,2.234594,0.006419,-0.188992,-0.189898,0.089173,-0.076602,-0.033537,0.145312,0.044159,0.094127,"2019-11-01","2019-08-22",12.93,1.39885857707749,0.2,NA,0.00361467558286644
"12","MG",-0.302171,22.78,12.38,451946250,5700,14.67,15.18,17419615.395,151728.1,106040.07,0.0013,"MISTRAS Group, Inc.",28695000,0.097774,-0.379883,-0.387855,-0.285066,0.077291,0.149635,0.16408,0.010263,0.069246,0.086207,"2019-11-04",NA,12115.38,0.697618928414284,NA,NA,NA
"13","MUFG",-0.127063,6.47,4.49,NA,119390,4.97,4.84,12921670331.2228,1114975.5,1180308.07,0.6568,"Mitsubishi UFJ Financial Group, Inc.",NA,0.336957,-0.090573,-0.24424,-0.127063,0.066532,0.037255,0.147505,0.137634,0.095238,0.068687,"2019-11-25",NA,8.05,0.70296180672913,NA,NA,NA
"14","MIXT",-0.067145,20.06,13.01,NA,1078,16.24,14.67,NA,49707.4,79061.83,0.7975,"MiX Telematics Ltd.",NA,-0.043598,0.639546,1.962393,-0.067145,-0.080925,-0.233119,-0.076774,-0.00625,0.014894,-0.011057,"2019-11-06","2019-08-22",17.94,0.726861501618163,0.18221,NA,0.0127330538085255
"15","MFG",-0.094556,3.65,2.66,NA,59132,3.03,2.94,NA,682598.4,809088.17,0.0678,"Mizuho Financial Group, Inc.",NA,-0.789509,-0.205584,-0.163102,-0.094556,0.036066,0.036066,0.149091,0.093426,0.085911,0.053333,"2019-11-15",NA,46.61,0.542609104723295,NA,NA,NA
"16","MBT",0.001218,9.63,6.64,NA,NA,7.99,8.15,998958187.92,2085340.2,2575690.37,0.1475,"Mobile TeleSystems PJSC",NA,0.926103,-0.537493,-0.158333,0.001218,0.127572,0.016069,-0.036342,0.066148,0.03657,-0.003636,"2019-11-19",NA,55.73,0.703478758814426,NA,NA,NA
"17","MODN",0.692401,29.26,12.59,910702080,782,18.66,24.37,23952184.368,504147.1,524570.37,-0.5424,"Model N, Inc.",32712000,-0.078078,0.881512,0.56766,0.702752,1.05613,0.648313,0.46758,0.06422,0.263731,0.006144,"2019-11-06",NA,-51.33,0.566731277973461,NA,NA,NA
"18","MOD",-0.227451,16.67,9.5,599829540,12200,13.31,11.91,48668808.856,283227.3,317802.47,1.3945,"Modine Manufacturing Co.",50747000,-0.032546,-0.064775,0.237551,-0.234951,0.092421,-0.174004,-0.115269,0.170297,0.067751,0.101584,"2019-10-29",NA,8.48,1.20821514636693,NA,NA,NA
"19","MC",-0.383393,57.7,31.4,2507912208,845,37.69,33.99,48404581.451,455485.7,419728.2,2.4122,"Moelis & Co.",49207000,3.184598,0.382342,-0.019894,-0.383943,-0.026227,-0.196603,0.041629,0.08109,0.002031,0.018284,"2019-10-28","2019-08-08",14.31,1.19099788117565,1.94,NA,0.0561830292499276
"20","MOGU",-0.802857,25.69,2.04,NA,927,9.54,2.63,90579368.075302,84609.8,109330.57,NA,"Mogu, Inc.",NA,-0.453571,-0.453571,-0.453571,-0.802857,-0.862,-0.822165,-0.222535,0.159664,0.154812,0.117409,"2019-11-27",NA,NA,-0.676745591177051,NA,NA,NA
"21","MHK",-0.328434,189.2,108.93,9066024450,42100,131.44,128.25,58980820.473,611292.1,691543.73,10.5765,"Mohawk Industries, Inc.",72153000,1.778383,0.002036,-0.411423,-0.327751,0.059444,-0.029805,-0.16356,0.128525,0.043778,0.035947,"2019-10-28",NA,11.88,1.03791305730363,NA,NA,NA
"22","MOH",-0.242338,159,105.28,7209256560,11000,134.23,132.48,59537948.822,659791.3,544032.5,12.8002,"Molina Healthcare, Inc.",62711000,8.750024,2.209877,0.927639,-0.217107,0.018336,-0.196196,-0.215772,-0.158911,-0.110492,-0.03061,"2019-11-01",NA,8.98,1.18354966017988,NA,NA,NA
"23","TAP",-0.094552,67.62,49.92,12365356470,17750,58.49,53.62,172887460.35,1618651.1,1643918.77,4.1418,"Molson Coors Brewing Co.",196230000,1.500718,-0.015658,-0.350793,-0.107277,0.001401,-0.062018,0.065412,0.101966,0.094372,0.023268,"2019-10-30","2019-08-29",13.8,0.618549223148928,1.64,NA,0.0286863739723631
"24","TAP.A",-0.085258,75.2,54.42,13366783800,17750,63.69,64.07,37267.672,70.6,183.27,4.1418,"Molson Coors Brewing Co.",2561000,7.613108,-0.011325,-0.349894,-0.085258,-0.000485,-0.05302,0.135612,-0.063636,-0.063636,0,"2019-10-30",NA,14.92,0.190703532799617,1.64,NA,0.026537216828479
"25","MNR",-0.165212,17.31,11.88,1369922750,14,13.51,13.54,89721825.6,527770.3,467629.83,-0.038,"Monmouth Real Estate Investment Corp.",95465000,0.870968,0.468354,-0.031315,-0.162777,0.19783,0.084656,0.033862,0.092085,0.081387,0.055923,"2019-11-27","2019-08-14",-377.63,0.508957489193932,0.68,NA,0.0473867595818815
"26","MR",-0.779032,21.75,2.59,146747550,159,10.73,3.69,17890347.3,683602.1,691112.57,2.2281,"Montage Resources Corp.",35705000,-0.974006,-0.974006,-0.684277,-0.763793,-0.731373,-0.75448,-0.37538,0.292453,0.417241,0.056555,"2019-11-11",NA,1.84,1.55081306616806,NA,NA,NA
"27","MCO",0.169265,222.85,129.26,40163376000,13000,181.99,209.44,188225809.2,784201.1,708080.4,6.53,"Moody's Corp.",189200000,7.387838,1.405953,0.690435,0.199932,0.507135,0.192785,0.106662,-0.00938,-0.009426,-0.023416,"2019-10-25","2019-08-19",32.51,1.18420218872023,1.88,NA,0.00885622762389297
"28","MOG.A",0.07148,98.52,68.37,3095068830,11787,86.33,84.75,31864836.098,98692.2,121719.57,4.9875,"Moog, Inc.",32503000,5.716875,0.367889,0.376365,0.072648,0.144869,0.003057,0.047411,0.108345,0.135769,0.060958,"2019-11-01",NA,17.76,1.29016911848145,1,NA,0.0112879557512135
"29","MOG.B",0.066061,97.36,73.21,3072709150,11787,86.33,84.49,NA,70.2,258.8,4.9875,"Moog, Inc.",2434000,5.729497,0.400324,0.411966,0.065871,0.135132,-0.027533,0.008023,0.098366,0.13119,0.091868,"2019-11-01",NA,17.63,0.601340124054819,1,NA,0.0113700966458215
