"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","DateMadePublic","OrigCompany","City","State","BreachType","OrgType","TotalRecords","BreachYear","Latitude","Longitude","MatchedCompanyName","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","YI","111, Inc.",1057,"$216.4M","2018","Health Care","Medical/Nursing Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PIH","1347 Property Insurance Holdings, Inc.",1916,"$29.22M","2014","Finance","Property-Casualty Insurers","May 10, 2013","PHH Corporation","Suwanee","Georgia","Insider","Healthcare",6700,2013,34.05149,-84.0713,"1347 Property Insurance Holdings, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,42477.4659685864,14959.5325203252,11820.0890688259,11846.868,5092.53731343284
"3","PIHPP","1347 Property Insurance Holdings, Inc.",1318,"$17.68M","n/a","Finance","Property-Casualty Insurers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TURN","180 Degree Capital Corp.",1006,"$66.29M","n/a","Finance","Finance/Investors Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198197.674418605,197696.669322709,186287.167330677,148128.584980237,131452.007936508,121563.043650794,154133.864541833,94892.568,114515.507936508,100268.714285714,67814.9761904762,69126.5595238095,102924.71314741,96376.0149253731
"5","FLWS","1-800 FLOWERS.COM, Inc.",714,"$946.76M","1999","Consumer Services","Other Specialty Stores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181815.134883721,224133.956175299,320112.207171315,265949.750988142,153532.71031746,219066.277777778,164705.585657371,126727.444,172111.380952381,206866.023809524,454860.976190476,231423.075396825,156412,216797.507462687
"6","BCOW","1895 Bancorp of Wisconsin, Inc.",2630,"$45.96M","2019","Finance","Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FCCY","1st Constitution Bancorp (NJ)",861,"$150.67M","n/a","Finance","Savings Institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6613.30769230769,3045.16201117318,2873.50543478261,3517.21538461538,3217.74522292994,3769.81818181818,3089.13888888889,4209.70769230769,3793.77040816327,6217.70454545455,10313.5065502183,10011.4708333333,15140.2429149798,8722.41791044776
"8","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","June 10, 2008","1st Source Bank","South Bend","Indiana","Hacking","Financial",0,2008,41.683381,-86.250007,"1st Source Corporation",29290.9162790698,36356.8645418327,60192.7091633466,69133.7075098814,45005.8928571429,35782.6031746032,43986.7450199203,46239.204,40695.380952381,42928.0198412698,44170.8174603175,41960.0833333333,56664.664,54264.4328358209
"9","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","November 19, 2010","1st Source Bank","South Bend","Indiana","Unknown","Financial",0,2010,41.683381,-86.250007,"1st Source Corporation",29290.9162790698,36356.8645418327,60192.7091633466,69133.7075098814,45005.8928571429,35782.6031746032,43986.7450199203,46239.204,40695.380952381,42928.0198412698,44170.8174603175,41960.0833333333,56664.664,54264.4328358209
"10","VNET","21Vianet Group, Inc.",2440,"$882.28M","2011","Technology","Computer Software: Programming, Data Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341663.063583815,309953.504,400820.293650794,1434286.09920635,838624.297619048,1182637.86507936,564894.61752988,409515.656716418
"11","TWOU","2U, Inc.",879,"$1.13B","2014","Technology","Computer Software: Prepackaged Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240327.720207254,559792.380952381,418226.865079365,412231.430278884,457447.850746269
"12","QFIN","360 Finance, Inc.",2658,"$1.43B","2018","Finance","Finance: Consumer Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","JOBS","51job, Inc.",2464,"$4.77B","2004","Technology","Diversified Commercial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358393.246511628,390773.84063745,154716.12749004,58251.5889328063,62710.2071713147,193332.777777778,257825.729083665,153820.576,114565.261904762,150750.523809524,155343.043650794,79164.7976190476,147532.406374502,221363.402985075
"14","JFK","8i Enterprises Acquisition Corp",2658,"$73.98M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","JFKKU","8i Enterprises Acquisition Corp",427,"$53.15M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","JFKKW","8i Enterprises Acquisition Corp",71,"$1.62M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","EGHT","8x8 Inc",1282,"$2.41B","n/a","Technology","EDP Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1207497.54883721,762003.844621514,583768.358565737,200085.644268775,245356.130952381,474544.650793651,947528.366533865,696803.128,798391.361111111,975074.261904762,636144.329365079,622632.412698413,729756.047808765,888880.970149254
"18","JFU","9F Inc.",445,"$2.11B","2019","Finance","Finance: Consumer Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AAON","AAON, Inc.",2046,"$2.5B","n/a","Capital Goods","Industrial Machinery/Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128357.488372093,149387.513944223,279199.589641434,415896.300395257,359120.246031746,215039.964285714,166952.637450199,141257.316,174493.785714286,182926.496031746,153092.511904762,130685.293650794,140895.776,202445.208955224
"20","ABEO","Abeona Therapeutics Inc.",315,"$75.95M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13162.4285714286,1164550.17460317,209085.353174603,641393.019920319,1072399.40298507
